PCRINCONCLUSIVE,POSITIVITYRATE,POSITIVITYRATE
0,3.462050599,3.462050599
1,4.819277108,4.819277108
1,4.273504274,4.273504274
0,2.523659306,2.523659306
0,1.737242128,1.737242128
1,3.102961918,3.102961918
1,4.298356511,4.298356511
1,1.296829971,1.296829971
0,5.147058824,5.147058824
1,5.357142857,5.357142857
1,2.842105263,2.842105263
0,2.371916509,2.371916509
0,4.832713755,4.832713755
2,4.66045273,4.66045273
0,4.475308642,4.475308642
1,3.139013453,3.139013453
0,5.294117647,5.294117647
0,3.555555556,3.555555556
1,2.124183007,2.124183007
0,3.034134008,3.034134008
0,3.916083916,3.916083916
0,2.883156297,2.883156297
0,4.516129032,4.516129032
1,5.974842767,5.974842767
3,2.88153682,2.88153682
1,3.12837109,3.12837109
0,3.281027104,3.281027104
3,4.481434059,4.481434059
0,4.530201342,4.530201342
2,8.868501529,8.868501529
2,6.172839506,6.172839506
4,5.333333333,5.333333333
2,3.0651341,3.0651341
0,3.516819572,3.516819572
1,3.846153846,3.846153846
0,4.674457429,4.674457429
0,3.909465021,3.909465021
0,5.592105263,5.592105263
1,3.533568905,3.533568905
0,4.166666667,4.166666667
0,5.882352941,5.882352941
1,4.671717172,4.671717172
7,5.04587156,5.04587156
3,10.02785515,10.02785515
5,7.570977918,7.570977918
1,5.115712546,5.115712546
2,4.121687929,4.121687929
15,4.02173913,4.02173913
3,5.736636245,5.736636245
1,5.601317957,5.601317957
1,10.82474227,10.82474227
0,8.554572271,8.554572271
0,4.857444562,4.857444562
1,4.98783455,4.98783455
4,6.932153392,6.932153392
15,3.762827822,3.762827822
19,6.451612903,6.451612903
3,7.317073171,7.317073171
2,5.83090379,5.83090379
13,6.016847172,6.016847172
0,6.241699867,6.241699867
4,6.873315364,6.873315364
2,6.569343066,6.569343066
1,8.542713568,8.542713568
0,6.906077348,6.906077348
1,8.465608466,8.465608466
2,4.447115385,4.447115385
3,4.785276074,4.785276074
1,4.078947368,4.078947368
4,5.103668262,5.103668262
5,6.126482213,6.126482213
0,5.797101449,5.797101449
1,5.483870968,5.483870968
0,3.076923077,3.076923077
5,3.526093089,3.526093089
0,4.96124031,4.96124031
6,4.270986745,4.270986745
0,4.891304348,4.891304348
0,7.051282051,7.051282051
9,7.262569832,7.262569832
4,3.475513428,3.475513428
3,3.558052434,3.558052434
5,4.275092937,4.275092937
0,4.474272931,4.474272931
2,4.6875,4.6875
0,4.347826087,4.347826087
0,6.993006993,6.993006993
0,4.107142857,4.107142857
1,2.888888889,2.888888889
1,3.803131991,3.803131991
7,4.188481675,4.188481675
1,2.72479564,2.72479564
3,4.237288136,4.237288136
3,6.153846154,6.153846154
6,2.272727273,2.272727273
0,5.035971223,5.035971223
